,passenger_id,arrival_time
0,0,4
1,1,6
2,2,2
3,3,10
4,4,5
5,5,5
6,6,3
7,7,10
8,8,2
9,9,5
10,10,5
11,11,7
12,12,7
13,13,9
14,14,8
15,15,6
16,16,6
17,17,7
18,18,10
19,19,1
20,20,2
21,21,7
22,22,3
23,23,10
24,24,5
25,25,7
26,26,8
27,27,5
28,28,10
29,29,9
30,30,9
31,31,10
32,32,9
33,33,4
34,34,2
35,35,8
36,36,2
37,37,5
38,38,10
39,39,10
40,40,2
41,41,9
42,42,5
43,43,4
44,44,6
45,45,5
46,46,6
47,47,9
48,48,4
49,49,3
50,50,9
51,51,2
52,52,3
53,53,6
54,54,5
55,55,6
56,56,2
57,57,2
58,58,10
59,59,2
60,60,6
61,61,4
62,62,1
63,63,3
64,64,9
65,65,2
66,66,7
67,67,9
68,68,4
69,69,10
70,70,7
71,71,7
72,72,5
73,73,9
74,74,7
75,75,7
76,76,3
77,77,9
78,78,4
79,79,9
80,80,1
81,81,6
82,82,1
83,83,8
84,84,10
85,85,10
86,86,2
87,87,3
88,88,9
89,89,4
90,90,10
91,91,1
92,92,10
93,93,5
94,94,1
95,95,8
96,96,1
97,97,2
98,98,2
99,99,4
